Time,Voltage,Current,Temperature,SOC,SOH
0.498,9.794824502884655,6.91039129051075,48.9438934731916,0.11556729684549748,0.9
0.499,9.772247950303978,7.04920059093348,48.9993441022829,0.11243431880508259,0.9
0.5,9.756273956210439,7.07565053707512,49.054702487473,0.1092895852330492,0.9
0.501,9.749194458504364,6.96916412188846,49.1099704666442,0.10619217895665432,0.9
0.502,9.730253065299758,7.05149441588311,49.1651498225429,0.10305818143848405,0.9
0.503,9.716374199373888,7.04208429200784,49.2202422836852,0.09992836619759168,0.9
0.504,9.679194164456476,7.04025330452262,49.2752495252947,0.09679936472891496,0.9
0.505,9.639627511842392,7.07324637370518,49.3301731702705,0.09365569967393488,0.9
0.506,9.602240623431937,7.07107770438665,49.3850147901854,0.09051299847198525,0.9
0.507,9.566154899036215,7.05162778458453,49.4397759063125,0.08737894167883657,0.9
0.508,9.531904487933835,7.00957180530513,49.4944579906793,0.08426357643203429,0.9
0.509,9.48680164102403,7.12823940285575,49.5490624671487,0.08109547003076506,0.9
0.51,9.457194890377863,7.00878398674631,49.6035907125238,0.07798045492554448,0.9
0.511,9.416848485215437,7.06094509020571,49.6580440576769,0.07484225710767527,0.9
0.512,9.380057592872951,7.05428487948043,49.7124237887002,0.07170701938346175,0.9
0.513,9.337708911398728,7.12813599216058,49.7667311480763,0.06853895894250149,0.9
0.514,9.29870214783139,7.14370052007151,49.8209673358669,0.06536398093358081,0.9
0.515,9.259892193243841,7.15532056384218,49.8751335109172,0.062183838460762066,0.9
0.516,9.22102463625101,7.16719377636854,49.9292307920749,0.05899841900459827,0.9
0.517,9.192386548223789,7.03203026241827,49.9832602594197,0.05587307222130126,0.9
0.518,9.149093679368704,7.12727938097617,50.0372229555017,0.052705392496422955,0.9
0.519,9.110841496425973,7.11575432113005,50.0911198865855,0.049542835020365154,0.9
0.52,9.065663083949355,7.08978849534786,50.1449520238974,0.04639181791132166,0.9
0.521,9.015636311680515,7.13646426508674,50.1987203048714,0.04322005601572755,0.9
0.522,8.969715005210897,7.11757277824956,50.2524256343908,0.040056690336505524,0.9
0.523,8.92555791479367,7.07732737129489,50.3060688860225,0.0369112115048189,0.9
0.524,8.877060508244927,7.10492749247738,50.3596509032377,0.03375346595260673,0.9
0.525,8.830318538665466,7.10282905146001,50.4131725006165,0.030596653040846727,0.9
0.526,8.782803094334303,7.11200460931842,50.4666344650309,0.02743576210337187,0.9
0.527,8.73270662893564,7.15616571763618,50.5200375568,0.024255244006644673,0.9
0.528,8.683653587135456,7.17853633482435,50.5733825108141,0.021064783413389403,0.9
0.529,8.63973645892439,7.1252644802281,50.6266700376199,0.01789799919995469,0.9
0.53,8.594332441218015,7.10252151250769,50.6799008244609,0.01474132297217349,0.9
0.531,8.545424017056819,7.13308830730276,50.7330755362676,0.01157106150226115,0.9
0.532,8.492038769847444,7.22187101742057,50.7861948165892,0.008361341050074227,0.9
0.533,8.442605312604025,7.24031874506647,50.839259288459,0.0051434216078224595,0.9
0.534,8.402008288880918,7.13156500648758,50.892269555188,0.001973837160494643,0.9
0.535,8.367028581760335,7.22579538607413,50.9452262010752,0.0,0.9
0.536,8.36938249744728,7.19111092675759,50.9981297920288,0.0,0.9
0.537,8.370937273567165,7.17259940405637,51.0509808760868,0.0,0.9
0.538,8.367215941629244,7.23880740649933,51.1037799838299,0.0,0.9
0.539,8.372352928802552,7.1605154181002,51.1565276286743,0.0,0.9
0.54,8.372575356706001,7.16646994648321,51.2092243070356,0.0,0.9
0.541,8.369631594571263,7.22151440537335,51.2618704983529,0.0,0.9
